"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 00:48:26 GMT 2024","Wed Jan 17 00:48:28 GMT 2024","1424","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"failed","Wed Jan 17 00:47:51 GMT 2024","Wed Jan 17 00:47:51 GMT 2024","3","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 17 00:48:18 GMT 2024","Wed Jan 17 00:48:21 GMT 2024","2235","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Wed Jan 17 00:48:46 GMT 2024","Wed Jan 17 00:48:48 GMT 2024","1757","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Wed Jan 17 00:48:42 GMT 2024","Wed Jan 17 00:48:42 GMT 2024","3","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 17 00:48:04 GMT 2024","Wed Jan 17 00:48:06 GMT 2024","2135","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Wed Jan 17 00:48:48 GMT 2024","Wed Jan 17 00:48:51 GMT 2024","2942","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"passed","Wed Jan 17 00:47:56 GMT 2024","Wed Jan 17 00:47:57 GMT 2024","1441","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Wed Jan 17 00:47:57 GMT 2024","Wed Jan 17 00:47:58 GMT 2024","825","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"failed","Wed Jan 17 00:48:41 GMT 2024","Wed Jan 17 00:48:42 GMT 2024","1014","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"failed","Wed Jan 17 00:48:30 GMT 2024","Wed Jan 17 00:48:31 GMT 2024","855","","","","","","Validate Council Output [StHelensBC-None-None]",""
"passed","Wed Jan 17 00:48:28 GMT 2024","Wed Jan 17 00:48:31 GMT 2024","3307","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
