"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:49 GMT 2024","2399","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"failed","Fri Jan 19 00:48:36 GMT 2024","Fri Jan 19 00:48:36 GMT 2024","3","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:48 GMT 2024","Fri Jan 19 00:48:49 GMT 2024","668","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"failed","Fri Jan 19 00:48:30 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","2142","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","2","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:09 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","5483","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:52 GMT 2024","Fri Jan 19 00:48:52 GMT 2024","653","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Fri Jan 19 00:48:32 GMT 2024","Fri Jan 19 00:48:33 GMT 2024","61","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:28 GMT 2024","Fri Jan 19 00:48:28 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:25 GMT 2024","Fri Jan 19 00:48:27 GMT 2024","1823","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"failed","Fri Jan 19 00:48:18 GMT 2024","Fri Jan 19 00:48:18 GMT 2024","165","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:39 GMT 2024","Fri Jan 19 00:48:42 GMT 2024","2656","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"passed","Fri Jan 19 00:48:21 GMT 2024","Fri Jan 19 00:48:25 GMT 2024","3612","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Fri Jan 19 00:48:32 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","560","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"failed","Fri Jan 19 00:48:52 GMT 2024","Fri Jan 19 00:48:52 GMT 2024","2","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:57 GMT 2024","Fri Jan 19 00:48:57 GMT 2024","61","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:57 GMT 2024","Fri Jan 19 00:48:57 GMT 2024","162","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:49:07 GMT 2024","Fri Jan 19 00:51:17 GMT 2024","130070","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"passed","Fri Jan 19 00:48:54 GMT 2024","Fri Jan 19 00:48:57 GMT 2024","3107","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"passed","Fri Jan 19 00:49:04 GMT 2024","Fri Jan 19 00:49:13 GMT 2024","9615","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:48:09 GMT 2024","Fri Jan 19 00:48:14 GMT 2024","5683","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"failed","Fri Jan 19 00:48:37 GMT 2024","Fri Jan 19 00:48:37 GMT 2024","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Fri Jan 19 00:48:34 GMT 2024","Fri Jan 19 00:48:36 GMT 2024","2230","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:36 GMT 2024","Fri Jan 19 00:48:37 GMT 2024","163","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:09 GMT 2024","Fri Jan 19 00:48:09 GMT 2024","180","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:49:00 GMT 2024","Fri Jan 19 00:49:01 GMT 2024","1222","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Fri Jan 19 00:49:04 GMT 2024","Fri Jan 19 00:49:06 GMT 2024","2243","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Fri Jan 19 00:48:42 GMT 2024","Fri Jan 19 00:48:50 GMT 2024","8156","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"failed","Fri Jan 19 00:48:14 GMT 2024","Fri Jan 19 00:48:14 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:49:06 GMT 2024","Fri Jan 19 00:49:09 GMT 2024","2829","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"failed","Fri Jan 19 00:48:49 GMT 2024","Fri Jan 19 00:48:49 GMT 2024","227","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:33 GMT 2024","Fri Jan 19 00:48:34 GMT 2024","1095","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Fri Jan 19 00:48:17 GMT 2024","Fri Jan 19 00:48:18 GMT 2024","893","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"passed","Fri Jan 19 00:48:44 GMT 2024","Fri Jan 19 00:48:49 GMT 2024","4771","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:18 GMT 2024","Fri Jan 19 00:48:20 GMT 2024","1570","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:49:10 GMT 2024","Fri Jan 19 00:49:12 GMT 2024","1636","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Fri Jan 19 00:48:17 GMT 2024","Fri Jan 19 00:48:18 GMT 2024","1111","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:39 GMT 2024","Fri Jan 19 00:48:40 GMT 2024","1330","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"passed","Fri Jan 19 00:48:22 GMT 2024","Fri Jan 19 00:48:23 GMT 2024","754","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:57 GMT 2024","Fri Jan 19 00:48:58 GMT 2024","875","","","","","","Validate Council Output [StHelensBC-None-None]",""
"passed","Fri Jan 19 00:48:20 GMT 2024","Fri Jan 19 00:48:21 GMT 2024","1243","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Fri Jan 19 00:48:39 GMT 2024","Fri Jan 19 00:48:42 GMT 2024","2784","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:46 GMT 2024","Fri Jan 19 00:48:46 GMT 2024","157","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:43 GMT 2024","Fri Jan 19 00:48:44 GMT 2024","1114","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:16 GMT 2024","Fri Jan 19 00:48:17 GMT 2024","1192","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Fri Jan 19 00:48:58 GMT 2024","Fri Jan 19 00:49:03 GMT 2024","4853","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:49:03 GMT 2024","Fri Jan 19 00:51:13 GMT 2024","130591","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"failed","Fri Jan 19 00:48:09 GMT 2024","Fri Jan 19 00:48:09 GMT 2024","135","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:49 GMT 2024","Fri Jan 19 00:48:49 GMT 2024","73","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:23 GMT 2024","Fri Jan 19 00:48:24 GMT 2024","1068","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:10 GMT 2024","Fri Jan 19 00:48:14 GMT 2024","4214","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Fri Jan 19 00:49:04 GMT 2024","Fri Jan 19 00:49:07 GMT 2024","3685","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"passed","Fri Jan 19 00:48:42 GMT 2024","Fri Jan 19 00:48:44 GMT 2024","2372","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"failed","Fri Jan 19 00:49:03 GMT 2024","Fri Jan 19 00:49:04 GMT 2024","857","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:48:24 GMT 2024","Fri Jan 19 00:48:30 GMT 2024","6111","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"failed","Fri Jan 19 00:48:20 GMT 2024","Fri Jan 19 00:48:20 GMT 2024","158","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:51:18 GMT 2024","Fri Jan 19 00:51:22 GMT 2024","4130","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:48:19 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","12998","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:49:13 GMT 2024","Fri Jan 19 00:49:16 GMT 2024","2879","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"failed","Fri Jan 19 00:48:28 GMT 2024","Fri Jan 19 00:48:28 GMT 2024","66","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:49 GMT 2024","Fri Jan 19 00:48:57 GMT 2024","7824","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:16 GMT 2024","Fri Jan 19 00:48:16 GMT 2024","160","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:49:13 GMT 2024","Fri Jan 19 00:49:13 GMT 2024","172","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:57 GMT 2024","Fri Jan 19 00:49:03 GMT 2024","5304","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"passed","Fri Jan 19 00:48:49 GMT 2024","Fri Jan 19 00:48:50 GMT 2024","655","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Fri Jan 19 00:48:18 GMT 2024","Fri Jan 19 00:48:18 GMT 2024","351","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"passed","Fri Jan 19 00:48:21 GMT 2024","Fri Jan 19 00:48:39 GMT 2024","17971","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:48:52 GMT 2024","Fri Jan 19 00:48:54 GMT 2024","1608","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"passed","Fri Jan 19 00:48:19 GMT 2024","Fri Jan 19 00:48:22 GMT 2024","2803","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:58 GMT 2024","Fri Jan 19 00:49:03 GMT 2024","4961","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"passed","Fri Jan 19 00:49:13 GMT 2024","Fri Jan 19 00:49:17 GMT 2024","3345","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
