"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 00:48:52 GMT 2024","Fri Jan 19 00:49:03 GMT 2024","10811","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:48:46 GMT 2024","Fri Jan 19 00:48:48 GMT 2024","1367","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"passed","Fri Jan 19 00:49:03 GMT 2024","Fri Jan 19 00:49:04 GMT 2024","813","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:53 GMT 2024","Fri Jan 19 00:48:55 GMT 2024","1952","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:34 GMT 2024","Fri Jan 19 00:48:36 GMT 2024","2372","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:08 GMT 2024","203","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:57 GMT 2024","Fri Jan 19 00:48:58 GMT 2024","927","","","","","","Validate Council Output [StHelensBC-None-None]",""
"failed","Fri Jan 19 00:49:07 GMT 2024","Fri Jan 19 00:49:10 GMT 2024","2845","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"passed","Fri Jan 19 00:48:22 GMT 2024","Fri Jan 19 00:48:23 GMT 2024","712","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:14 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:49:11 GMT 2024","Fri Jan 19 00:49:11 GMT 2024","3","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:26 GMT 2024","Fri Jan 19 00:48:28 GMT 2024","1385","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
