"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 16 00:48:22 GMT 2024","Tue Jan 16 00:50:33 GMT 2024","131039","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"failed","Tue Jan 16 00:47:49 GMT 2024","Tue Jan 16 00:47:49 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Tue Jan 16 00:47:20 GMT 2024","Tue Jan 16 00:47:25 GMT 2024","5699","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Tue Jan 16 00:48:36 GMT 2024","Tue Jan 16 00:48:37 GMT 2024","1443","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"failed","Tue Jan 16 00:47:21 GMT 2024","Tue Jan 16 00:47:59 GMT 2024","37481","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Tue Jan 16 00:50:33 GMT 2024","Tue Jan 16 00:50:36 GMT 2024","2340","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"failed","Tue Jan 16 00:47:38 GMT 2024","Tue Jan 16 00:47:39 GMT 2024","1549","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"failed","Tue Jan 16 00:48:38 GMT 2024","Tue Jan 16 00:48:39 GMT 2024","628","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Tue Jan 16 00:47:24 GMT 2024","Tue Jan 16 00:47:26 GMT 2024","1725","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"passed","Tue Jan 16 00:47:27 GMT 2024","Tue Jan 16 00:47:29 GMT 2024","2030","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Tue Jan 16 00:48:21 GMT 2024","Tue Jan 16 00:48:24 GMT 2024","2685","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Tue Jan 16 00:48:36 GMT 2024","Tue Jan 16 00:48:38 GMT 2024","1940","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Tue Jan 16 00:48:00 GMT 2024","Tue Jan 16 00:48:00 GMT 2024","451","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 16 00:47:29 GMT 2024","Tue Jan 16 00:47:30 GMT 2024","1210","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Tue Jan 16 00:48:05 GMT 2024","Tue Jan 16 00:48:06 GMT 2024","1608","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Tue Jan 16 00:47:27 GMT 2024","Tue Jan 16 00:47:29 GMT 2024","2652","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Tue Jan 16 00:47:55 GMT 2024","Tue Jan 16 00:48:00 GMT 2024","4651","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"passed","Tue Jan 16 00:48:02 GMT 2024","Tue Jan 16 00:48:02 GMT 2024","839","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Tue Jan 16 00:47:25 GMT 2024","Tue Jan 16 00:47:26 GMT 2024","1245","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 16 00:47:21 GMT 2024","Tue Jan 16 00:47:22 GMT 2024","1151","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 16 00:47:38 GMT 2024","Tue Jan 16 00:47:40 GMT 2024","1941","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Tue Jan 16 00:47:40 GMT 2024","Tue Jan 16 00:47:42 GMT 2024","1227","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Tue Jan 16 00:47:38 GMT 2024","Tue Jan 16 00:47:41 GMT 2024","3067","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Tue Jan 16 00:47:42 GMT 2024","Tue Jan 16 00:47:43 GMT 2024","1207","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Tue Jan 16 00:50:03 GMT 2024","Tue Jan 16 00:50:05 GMT 2024","1990","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"failed","Tue Jan 16 00:47:30 GMT 2024","Tue Jan 16 00:47:31 GMT 2024","756","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"failed","Tue Jan 16 00:47:59 GMT 2024","Tue Jan 16 00:47:59 GMT 2024","2","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 16 00:47:49 GMT 2024","Tue Jan 16 00:47:54 GMT 2024","4856","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"passed","Tue Jan 16 00:48:12 GMT 2024","Tue Jan 16 00:48:15 GMT 2024","2814","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Tue Jan 16 00:48:03 GMT 2024","Tue Jan 16 00:48:05 GMT 2024","1881","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
