"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 20 00:48:12 GMT 2024","Sat Jan 20 00:48:17 GMT 2024","5353","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"passed","Sat Jan 20 00:47:01 GMT 2024","Sat Jan 20 00:47:02 GMT 2024","1465","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Sat Jan 20 00:47:59 GMT 2024","Sat Jan 20 00:48:01 GMT 2024","2262","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"passed","Sat Jan 20 00:47:58 GMT 2024","Sat Jan 20 00:47:59 GMT 2024","532","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Sat Jan 20 00:48:17 GMT 2024","Sat Jan 20 00:48:20 GMT 2024","3231","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"passed","Sat Jan 20 00:46:54 GMT 2024","Sat Jan 20 00:46:55 GMT 2024","954","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"failed","Sat Jan 20 00:48:01 GMT 2024","Sat Jan 20 00:48:01 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:46:57 GMT 2024","Sat Jan 20 00:46:58 GMT 2024","1188","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Sat Jan 20 00:47:48 GMT 2024","Sat Jan 20 00:47:50 GMT 2024","2801","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Sat Jan 20 00:47:02 GMT 2024","Sat Jan 20 00:47:08 GMT 2024","6483","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:48:20 GMT 2024","Sat Jan 20 00:48:21 GMT 2024","1027","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"failed","Sat Jan 20 00:47:42 GMT 2024","Sat Jan 20 00:47:42 GMT 2024","2","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:48:16 GMT 2024","Sat Jan 20 00:48:17 GMT 2024","1025","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"passed","Sat Jan 20 00:48:07 GMT 2024","Sat Jan 20 00:48:14 GMT 2024","7174","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:47:19 GMT 2024","Sat Jan 20 00:47:19 GMT 2024","74","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:19 GMT 2024","Sat Jan 20 00:47:20 GMT 2024","912","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Sat Jan 20 00:46:54 GMT 2024","Sat Jan 20 00:46:57 GMT 2024","2636","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"failed","Sat Jan 20 00:47:00 GMT 2024","Sat Jan 20 00:47:01 GMT 2024","819","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:47:09 GMT 2024","Sat Jan 20 00:47:09 GMT 2024","3","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:30 GMT 2024","Sat Jan 20 00:47:31 GMT 2024","699","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"failed","Sat Jan 20 00:47:04 GMT 2024","Sat Jan 20 00:47:04 GMT 2024","3","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:48:22 GMT 2024","Sat Jan 20 00:48:26 GMT 2024","3522","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:47:16 GMT 2024","Sat Jan 20 00:47:17 GMT 2024","73","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:00 GMT 2024","Sat Jan 20 00:47:00 GMT 2024","746","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"failed","Sat Jan 20 00:46:59 GMT 2024","Sat Jan 20 00:46:59 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:47:01 GMT 2024","Sat Jan 20 00:47:01 GMT 2024","287","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"passed","Sat Jan 20 00:47:11 GMT 2024","Sat Jan 20 00:47:13 GMT 2024","2192","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Sat Jan 20 00:47:20 GMT 2024","Sat Jan 20 00:47:21 GMT 2024","923","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Sat Jan 20 00:47:06 GMT 2024","Sat Jan 20 00:47:08 GMT 2024","2465","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:47:01 GMT 2024","Sat Jan 20 00:47:01 GMT 2024","3","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:47:05 GMT 2024","Sat Jan 20 00:47:05 GMT 2024","74","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:21 GMT 2024","Sat Jan 20 00:47:25 GMT 2024","3913","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"failed","Sat Jan 20 00:47:04 GMT 2024","Sat Jan 20 00:47:04 GMT 2024","4","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
