"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 20 00:46:59 GMT 2024","Sat Jan 20 00:46:59 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:48:20 GMT 2024","Sat Jan 20 00:48:20 GMT 2024","2","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:40 GMT 2024","Sat Jan 20 00:47:43 GMT 2024","2212","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Sat Jan 20 00:47:53 GMT 2024","Sat Jan 20 00:47:57 GMT 2024","4283","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"failed","Sat Jan 20 00:47:00 GMT 2024","Sat Jan 20 00:47:01 GMT 2024","844","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:00 GMT 2024","Sat Jan 20 00:47:01 GMT 2024","1147","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"passed","Sat Jan 20 00:47:05 GMT 2024","Sat Jan 20 00:47:05 GMT 2024","614","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Sat Jan 20 00:47:10 GMT 2024","Sat Jan 20 00:47:13 GMT 2024","3011","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:48:09 GMT 2024","Sat Jan 20 00:48:09 GMT 2024","156","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:51 GMT 2024","Sat Jan 20 00:47:53 GMT 2024","2305","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"failed","Sat Jan 20 00:47:14 GMT 2024","Sat Jan 20 00:47:15 GMT 2024","934","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Sat Jan 20 00:48:12 GMT 2024","Sat Jan 20 00:48:17 GMT 2024","5079","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"passed","Sat Jan 20 00:48:10 GMT 2024","Sat Jan 20 00:48:10 GMT 2024","561","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Sat Jan 20 00:48:18 GMT 2024","Sat Jan 20 00:48:19 GMT 2024","1151","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"failed","Sat Jan 20 00:47:32 GMT 2024","Sat Jan 20 00:47:33 GMT 2024","75","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:48:11 GMT 2024","Sat Jan 20 00:48:13 GMT 2024","1746","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"failed","Sat Jan 20 00:48:05 GMT 2024","Sat Jan 20 00:48:05 GMT 2024","165","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:47:32 GMT 2024","Sat Jan 20 00:47:32 GMT 2024","163","","","","","","Validate Council Output [NorthumberlandCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:48:25 GMT 2024","Sat Jan 20 00:48:26 GMT 2024","1509","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Sat Jan 20 00:47:02 GMT 2024","Sat Jan 20 00:47:03 GMT 2024","1363","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:48:19 GMT 2024","Sat Jan 20 00:48:19 GMT 2024","68","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Sat Jan 20 00:47:14 GMT 2024","Sat Jan 20 00:47:48 GMT 2024","33504","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"failed","Sat Jan 20 00:47:59 GMT 2024","Sat Jan 20 00:47:59 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:28 GMT 2024","Sat Jan 20 00:47:30 GMT 2024","1336","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Sat Jan 20 00:47:01 GMT 2024","Sat Jan 20 00:47:02 GMT 2024","589","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Sat Jan 20 00:47:12 GMT 2024","Sat Jan 20 00:47:12 GMT 2024","2","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:13 GMT 2024","Sat Jan 20 00:47:14 GMT 2024","796","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"failed","Sat Jan 20 00:46:59 GMT 2024","Sat Jan 20 00:47:00 GMT 2024","916","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"failed","Sat Jan 20 00:47:04 GMT 2024","Sat Jan 20 00:47:04 GMT 2024","3","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:48:19 GMT 2024","Sat Jan 20 00:48:20 GMT 2024","947","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"failed","Sat Jan 20 00:48:06 GMT 2024","Sat Jan 20 00:48:06 GMT 2024","922","","","","","","Validate Council Output [StHelensBC-None-None]",""
"failed","Sat Jan 20 00:47:05 GMT 2024","Sat Jan 20 00:47:16 GMT 2024","10849","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Sat Jan 20 00:46:53 GMT 2024","Sat Jan 20 00:46:57 GMT 2024","3603","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"failed","Sat Jan 20 00:47:00 GMT 2024","Sat Jan 20 00:47:00 GMT 2024","2","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:47:18 GMT 2024","Sat Jan 20 00:47:19 GMT 2024","923","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Sat Jan 20 00:48:19 GMT 2024","Sat Jan 20 00:48:25 GMT 2024","5533","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:47:00 GMT 2024","Sat Jan 20 00:47:00 GMT 2024","162","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Jan 20 00:48:26 GMT 2024","Sat Jan 20 00:48:30 GMT 2024","4259","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
"failed","Sat Jan 20 00:46:53 GMT 2024","Sat Jan 20 00:46:53 GMT 2024","163","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
