"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 18 00:47:49 GMT 2024","Thu Jan 18 00:47:49 GMT 2024","3","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:48:13 GMT 2024","Thu Jan 18 00:48:14 GMT 2024","674","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Thu Jan 18 00:47:36 GMT 2024","Thu Jan 18 00:47:37 GMT 2024","1241","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"failed","Thu Jan 18 00:47:47 GMT 2024","Thu Jan 18 00:47:47 GMT 2024","4","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:47:55 GMT 2024","Thu Jan 18 00:47:55 GMT 2024","154","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:48:05 GMT 2024","Thu Jan 18 00:48:06 GMT 2024","807","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"failed","Thu Jan 18 00:48:17 GMT 2024","Thu Jan 18 00:48:17 GMT 2024","64","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:47:55 GMT 2024","Thu Jan 18 00:47:55 GMT 2024","572","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"failed","Thu Jan 18 00:47:59 GMT 2024","Thu Jan 18 00:47:59 GMT 2024","61","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:47:42 GMT 2024","Thu Jan 18 00:47:42 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:48:26 GMT 2024","Thu Jan 18 00:48:30 GMT 2024","3719","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"failed","Thu Jan 18 00:47:37 GMT 2024","Thu Jan 18 00:47:38 GMT 2024","170","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:47:59 GMT 2024","Thu Jan 18 00:47:59 GMT 2024","591","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Thu Jan 18 00:47:59 GMT 2024","Thu Jan 18 00:48:05 GMT 2024","5971","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"passed","Thu Jan 18 00:47:58 GMT 2024","Thu Jan 18 00:47:59 GMT 2024","997","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Thu Jan 18 00:48:11 GMT 2024","Thu Jan 18 00:48:13 GMT 2024","1817","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"failed","Thu Jan 18 00:47:44 GMT 2024","Thu Jan 18 00:47:44 GMT 2024","63","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:48:21 GMT 2024","Thu Jan 18 00:48:21 GMT 2024","78","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:48:06 GMT 2024","Thu Jan 18 00:48:09 GMT 2024","2654","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Thu Jan 18 00:47:51 GMT 2024","Thu Jan 18 00:47:58 GMT 2024","6955","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"failed","Thu Jan 18 00:48:21 GMT 2024","Thu Jan 18 00:48:21 GMT 2024","3","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:48:22 GMT 2024","Thu Jan 18 00:50:32 GMT 2024","129866","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Thu Jan 18 00:47:45 GMT 2024","Thu Jan 18 00:47:49 GMT 2024","3514","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Thu Jan 18 00:47:49 GMT 2024","Thu Jan 18 00:47:51 GMT 2024","2049","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Thu Jan 18 00:47:50 GMT 2024","Thu Jan 18 00:47:51 GMT 2024","750","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"failed","Thu Jan 18 00:48:10 GMT 2024","Thu Jan 18 00:48:10 GMT 2024","66","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
