"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 16 00:47:20 GMT 2024","Tue Jan 16 00:47:20 GMT 2024","105","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 16 00:47:43 GMT 2024","Tue Jan 16 00:47:43 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Tue Jan 16 00:48:16 GMT 2024","Tue Jan 16 00:48:17 GMT 2024","970","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"passed","Tue Jan 16 00:47:32 GMT 2024","Tue Jan 16 00:47:33 GMT 2024","1371","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"failed","Tue Jan 16 00:48:29 GMT 2024","Tue Jan 16 00:48:32 GMT 2024","3683","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"failed","Tue Jan 16 00:47:41 GMT 2024","Tue Jan 16 00:47:43 GMT 2024","1900","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Tue Jan 16 00:47:57 GMT 2024","Tue Jan 16 00:47:59 GMT 2024","2021","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Tue Jan 16 00:47:43 GMT 2024","Tue Jan 16 00:47:44 GMT 2024","1137","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Tue Jan 16 00:48:01 GMT 2024","Tue Jan 16 00:48:02 GMT 2024","1201","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 16 00:47:30 GMT 2024","Tue Jan 16 00:47:31 GMT 2024","927","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Tue Jan 16 00:48:24 GMT 2024","Tue Jan 16 00:48:27 GMT 2024","3473","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"passed","Tue Jan 16 00:47:40 GMT 2024","Tue Jan 16 00:47:43 GMT 2024","3375","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Tue Jan 16 00:48:59 GMT 2024","Tue Jan 16 00:49:00 GMT 2024","850","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"failed","Tue Jan 16 00:48:02 GMT 2024","Tue Jan 16 00:48:03 GMT 2024","439","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"passed","Tue Jan 16 00:48:42 GMT 2024","Tue Jan 16 00:48:50 GMT 2024","7761","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
