"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 17 00:48:02 GMT 2024","Wed Jan 17 00:48:02 GMT 2024","227","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 17 00:48:38 GMT 2024","Wed Jan 17 00:48:49 GMT 2024","10433","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"passed","Wed Jan 17 00:48:49 GMT 2024","Wed Jan 17 00:48:51 GMT 2024","2254","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Wed Jan 17 00:48:09 GMT 2024","Wed Jan 17 00:48:09 GMT 2024","3","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"failed","Wed Jan 17 00:48:07 GMT 2024","Wed Jan 17 00:48:07 GMT 2024","227","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 17 00:48:08 GMT 2024","Wed Jan 17 00:48:09 GMT 2024","1452","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"failed","Wed Jan 17 00:48:47 GMT 2024","Wed Jan 17 00:48:47 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"failed","Wed Jan 17 00:48:30 GMT 2024","Wed Jan 17 00:48:32 GMT 2024","2285","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"passed","Wed Jan 17 00:50:48 GMT 2024","Wed Jan 17 00:51:00 GMT 2024","12065","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"failed","Wed Jan 17 00:47:54 GMT 2024","Wed Jan 17 00:47:54 GMT 2024","2","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 17 00:48:28 GMT 2024","Wed Jan 17 00:48:33 GMT 2024","4791","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"failed","Wed Jan 17 00:48:20 GMT 2024","Wed Jan 17 00:48:20 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Wed Jan 17 00:48:00 GMT 2024","Wed Jan 17 00:48:01 GMT 2024","1218","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"passed","Wed Jan 17 00:48:20 GMT 2024","Wed Jan 17 00:48:21 GMT 2024","927","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Wed Jan 17 00:48:09 GMT 2024","Wed Jan 17 00:48:12 GMT 2024","2287","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Wed Jan 17 00:48:01 GMT 2024","Wed Jan 17 00:48:04 GMT 2024","3038","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"passed","Wed Jan 17 00:48:23 GMT 2024","Wed Jan 17 00:48:26 GMT 2024","3451","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Wed Jan 17 00:47:59 GMT 2024","Wed Jan 17 00:48:01 GMT 2024","1561","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Wed Jan 17 00:48:09 GMT 2024","Wed Jan 17 00:48:11 GMT 2024","1953","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
