"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 00:51:14 GMT 2024","Mon Jan 15 00:51:26 GMT 2024","11481","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"failed","Mon Jan 15 00:51:12 GMT 2024","Mon Jan 15 00:51:13 GMT 2024","940","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"failed","Mon Jan 15 00:50:59 GMT 2024","Mon Jan 15 00:51:04 GMT 2024","4695","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Mon Jan 15 00:51:32 GMT 2024","Mon Jan 15 00:51:37 GMT 2024","4738","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"failed","Mon Jan 15 00:51:03 GMT 2024","Mon Jan 15 00:51:03 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"failed","Mon Jan 15 00:51:18 GMT 2024","Mon Jan 15 00:51:18 GMT 2024","2","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:47 GMT 2024","Mon Jan 15 00:51:49 GMT 2024","1771","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Mon Jan 15 00:50:46 GMT 2024","Mon Jan 15 00:50:47 GMT 2024","1131","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Mon Jan 15 00:51:29 GMT 2024","Mon Jan 15 00:51:32 GMT 2024","2444","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"failed","Mon Jan 15 00:50:45 GMT 2024","Mon Jan 15 00:50:45 GMT 2024","206","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:57 GMT 2024","Mon Jan 15 00:51:58 GMT 2024","650","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Mon Jan 15 00:51:54 GMT 2024","Mon Jan 15 00:51:57 GMT 2024","2793","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"passed","Mon Jan 15 00:50:52 GMT 2024","Mon Jan 15 00:50:54 GMT 2024","1412","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Mon Jan 15 00:51:18 GMT 2024","Mon Jan 15 00:51:20 GMT 2024","2495","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"failed","Mon Jan 15 00:51:04 GMT 2024","Mon Jan 15 00:51:06 GMT 2024","1973","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:02 GMT 2024","Mon Jan 15 00:51:02 GMT 2024","2","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:56 GMT 2024","Mon Jan 15 00:50:58 GMT 2024","1962","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Mon Jan 15 00:50:57 GMT 2024","Mon Jan 15 00:51:02 GMT 2024","5528","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Mon Jan 15 00:51:06 GMT 2024","Mon Jan 15 00:51:07 GMT 2024","1088","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Mon Jan 15 00:51:14 GMT 2024","Mon Jan 15 00:51:14 GMT 2024","110","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:48 GMT 2024","Mon Jan 15 00:50:50 GMT 2024","1625","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"failed","Mon Jan 15 00:51:03 GMT 2024","Mon Jan 15 00:51:04 GMT 2024","777","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"failed","Mon Jan 15 00:51:14 GMT 2024","Mon Jan 15 00:51:14 GMT 2024","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"failed","Mon Jan 15 00:53:51 GMT 2024","Mon Jan 15 00:53:51 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:57 GMT 2024","Mon Jan 15 00:51:16 GMT 2024","19639","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:53 GMT 2024","Mon Jan 15 00:51:53 GMT 2024","102","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:23 GMT 2024","Mon Jan 15 00:51:23 GMT 2024","209","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:33 GMT 2024","Mon Jan 15 00:53:42 GMT 2024","129594","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Mon Jan 15 00:50:45 GMT 2024","Mon Jan 15 00:50:51 GMT 2024","6105","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Mon Jan 15 00:51:29 GMT 2024","Mon Jan 15 00:51:34 GMT 2024","4326","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
