"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 00:48:10 GMT 2024","Thu Jan 18 00:48:10 GMT 2024","561","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Thu Jan 18 00:48:25 GMT 2024","Thu Jan 18 00:48:30 GMT 2024","5410","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Thu Jan 18 00:48:21 GMT 2024","Thu Jan 18 00:48:21 GMT 2024","663","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"failed","Thu Jan 18 00:48:10 GMT 2024","Thu Jan 18 00:48:10 GMT 2024","3","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:48:21 GMT 2024","Thu Jan 18 00:48:21 GMT 2024","3","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:47:42 GMT 2024","Thu Jan 18 00:47:42 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:47:42 GMT 2024","Thu Jan 18 00:47:43 GMT 2024","1215","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"passed","Thu Jan 18 00:48:05 GMT 2024","Thu Jan 18 00:48:07 GMT 2024","1341","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Thu Jan 18 00:48:11 GMT 2024","Thu Jan 18 00:48:18 GMT 2024","7330","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Thu Jan 18 00:47:59 GMT 2024","Thu Jan 18 00:47:59 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Thu Jan 18 00:48:19 GMT 2024","Thu Jan 18 00:48:19 GMT 2024","527","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Thu Jan 18 00:47:43 GMT 2024","Thu Jan 18 00:47:44 GMT 2024","882","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:47:38 GMT 2024","Thu Jan 18 00:47:39 GMT 2024","1226","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Thu Jan 18 00:47:49 GMT 2024","Thu Jan 18 00:47:52 GMT 2024","2954","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Thu Jan 18 00:48:33 GMT 2024","Thu Jan 18 00:48:33 GMT 2024","83","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Thu Jan 18 00:48:08 GMT 2024","Thu Jan 18 00:48:09 GMT 2024","420","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:48:21 GMT 2024","Thu Jan 18 00:48:22 GMT 2024","584","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Thu Jan 18 00:48:24 GMT 2024","Thu Jan 18 00:48:25 GMT 2024","864","","","","","","Validate Council Output [StHelensBC-None-None]",""
"passed","Thu Jan 18 00:47:42 GMT 2024","Thu Jan 18 00:47:43 GMT 2024","1468","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"failed","Thu Jan 18 00:48:24 GMT 2024","Thu Jan 18 00:48:24 GMT 2024","2","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:47:59 GMT 2024","Thu Jan 18 00:48:04 GMT 2024","4273","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"failed","Thu Jan 18 00:48:05 GMT 2024","Thu Jan 18 00:48:05 GMT 2024","70","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Jan 18 00:48:04 GMT 2024","Thu Jan 18 00:48:05 GMT 2024","1193","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"failed","Thu Jan 18 00:47:46 GMT 2024","Thu Jan 18 00:47:46 GMT 2024","3","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"passed","Thu Jan 18 00:47:56 GMT 2024","Thu Jan 18 00:47:57 GMT 2024","693","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"passed","Thu Jan 18 00:50:36 GMT 2024","Thu Jan 18 00:50:39 GMT 2024","3045","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
