"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 00:51:05 GMT 2024","Mon Jan 15 00:51:09 GMT 2024","3588","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"passed","Mon Jan 15 00:51:27 GMT 2024","Mon Jan 15 00:51:32 GMT 2024","4920","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"failed","Mon Jan 15 00:51:33 GMT 2024","Mon Jan 15 00:51:33 GMT 2024","808","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"passed","Mon Jan 15 00:51:32 GMT 2024","Mon Jan 15 00:51:35 GMT 2024","2667","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Mon Jan 15 00:51:49 GMT 2024","Mon Jan 15 00:51:52 GMT 2024","3498","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"failed","Mon Jan 15 00:50:45 GMT 2024","Mon Jan 15 00:50:46 GMT 2024","215","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:30 GMT 2024","Mon Jan 15 00:51:31 GMT 2024","656","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"passed","Mon Jan 15 00:51:24 GMT 2024","Mon Jan 15 00:51:24 GMT 2024","643","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Mon Jan 15 00:50:46 GMT 2024","Mon Jan 15 00:50:52 GMT 2024","5575","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"failed","Mon Jan 15 00:50:49 GMT 2024","Mon Jan 15 00:50:50 GMT 2024","247","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:11 GMT 2024","Mon Jan 15 00:51:12 GMT 2024","1178","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Mon Jan 15 00:50:56 GMT 2024","Mon Jan 15 00:50:58 GMT 2024","1820","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"failed","Mon Jan 15 00:51:17 GMT 2024","Mon Jan 15 00:51:17 GMT 2024","106","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:12 GMT 2024","Mon Jan 15 00:51:14 GMT 2024","1310","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"failed","Mon Jan 15 00:50:54 GMT 2024","Mon Jan 15 00:50:54 GMT 2024","2","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:48 GMT 2024","Mon Jan 15 00:50:49 GMT 2024","1238","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"failed","Mon Jan 15 00:51:29 GMT 2024","Mon Jan 15 00:51:30 GMT 2024","896","","","","","","Validate Council Output [StHelensBC-None-None]",""
"passed","Mon Jan 15 00:51:45 GMT 2024","Mon Jan 15 00:51:49 GMT 2024","3991","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Mon Jan 15 00:50:58 GMT 2024","Mon Jan 15 00:50:58 GMT 2024","2","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:45 GMT 2024","Mon Jan 15 00:51:45 GMT 2024","106","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:50:58 GMT 2024","Mon Jan 15 00:50:58 GMT 2024","204","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:21 GMT 2024","Mon Jan 15 00:51:21 GMT 2024","3","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:52 GMT 2024","Mon Jan 15 00:50:55 GMT 2024","2779","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Mon Jan 15 00:51:38 GMT 2024","Mon Jan 15 00:51:41 GMT 2024","3157","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"passed","Mon Jan 15 00:51:11 GMT 2024","Mon Jan 15 00:51:14 GMT 2024","3102","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Mon Jan 15 00:51:26 GMT 2024","Mon Jan 15 00:51:27 GMT 2024","1258","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Mon Jan 15 00:50:54 GMT 2024","Mon Jan 15 00:50:57 GMT 2024","2339","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"failed","Mon Jan 15 00:51:33 GMT 2024","Mon Jan 15 00:53:43 GMT 2024","130415","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Mon Jan 15 00:50:49 GMT 2024","Mon Jan 15 00:50:50 GMT 2024","1006","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"failed","Mon Jan 15 00:51:11 GMT 2024","Mon Jan 15 00:51:11 GMT 2024","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Mon Jan 15 00:51:43 GMT 2024","Mon Jan 15 00:51:45 GMT 2024","1277","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"passed","Mon Jan 15 00:51:19 GMT 2024","Mon Jan 15 00:51:22 GMT 2024","2365","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Mon Jan 15 00:51:48 GMT 2024","Mon Jan 15 00:51:49 GMT 2024","1116","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"passed","Mon Jan 15 00:51:41 GMT 2024","Mon Jan 15 00:51:43 GMT 2024","1774","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Mon Jan 15 00:50:45 GMT 2024","Mon Jan 15 00:50:47 GMT 2024","1098","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"passed","Mon Jan 15 00:51:04 GMT 2024","Mon Jan 15 00:51:05 GMT 2024","1153","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"failed","Mon Jan 15 00:50:58 GMT 2024","Mon Jan 15 00:50:58 GMT 2024","197","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:27 GMT 2024","Mon Jan 15 00:51:30 GMT 2024","3399","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"passed","Mon Jan 15 00:51:03 GMT 2024","Mon Jan 15 00:51:04 GMT 2024","1066","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Mon Jan 15 00:51:29 GMT 2024","Mon Jan 15 00:51:29 GMT 2024","98","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:03 GMT 2024","Mon Jan 15 00:51:04 GMT 2024","919","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"passed","Mon Jan 15 00:51:14 GMT 2024","Mon Jan 15 00:51:19 GMT 2024","5364","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"failed","Mon Jan 15 00:50:53 GMT 2024","Mon Jan 15 00:50:53 GMT 2024","2","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:22 GMT 2024","Mon Jan 15 00:51:23 GMT 2024","1618","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"passed","Mon Jan 15 00:51:10 GMT 2024","Mon Jan 15 00:51:11 GMT 2024","1279","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"failed","Mon Jan 15 00:51:24 GMT 2024","Mon Jan 15 00:51:24 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:36 GMT 2024","Mon Jan 15 00:51:39 GMT 2024","3209","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"failed","Mon Jan 15 00:50:53 GMT 2024","Mon Jan 15 00:50:53 GMT 2024","120","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:58 GMT 2024","Mon Jan 15 00:50:59 GMT 2024","1290","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"failed","Mon Jan 15 00:50:45 GMT 2024","Mon Jan 15 00:50:46 GMT 2024","405","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:50:52 GMT 2024","Mon Jan 15 00:50:53 GMT 2024","947","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:50:46 GMT 2024","Mon Jan 15 00:50:46 GMT 2024","211","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:50 GMT 2024","Mon Jan 15 00:50:51 GMT 2024","1373","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Mon Jan 15 00:50:59 GMT 2024","Mon Jan 15 00:51:02 GMT 2024","2898","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Mon Jan 15 00:51:14 GMT 2024","Mon Jan 15 00:51:20 GMT 2024","5712","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Mon Jan 15 00:50:50 GMT 2024","Mon Jan 15 00:50:52 GMT 2024","1608","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Mon Jan 15 00:51:19 GMT 2024","Mon Jan 15 00:51:19 GMT 2024","138","","","","","","Validate Council Output [NorthumberlandCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:51:36 GMT 2024","Mon Jan 15 00:51:38 GMT 2024","2349","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"passed","Mon Jan 15 00:53:49 GMT 2024","Mon Jan 15 00:53:53 GMT 2024","4181","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"passed","Mon Jan 15 00:50:57 GMT 2024","Mon Jan 15 00:51:16 GMT 2024","18870","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 15 00:50:51 GMT 2024","Mon Jan 15 00:50:51 GMT 2024","745","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"passed","Mon Jan 15 00:51:20 GMT 2024","Mon Jan 15 00:51:23 GMT 2024","3632","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"failed","Mon Jan 15 00:51:08 GMT 2024","Mon Jan 15 00:51:08 GMT 2024","127","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:43 GMT 2024","Mon Jan 15 00:51:43 GMT 2024","104","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Mon Jan 15 00:51:23 GMT 2024","Mon Jan 15 00:51:24 GMT 2024","149","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:17 GMT 2024","Mon Jan 15 00:51:17 GMT 2024","3","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 15 00:51:01 GMT 2024","Mon Jan 15 00:51:02 GMT 2024","804","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Mon Jan 15 00:51:35 GMT 2024","Mon Jan 15 00:51:39 GMT 2024","3981","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"passed","Mon Jan 15 00:51:11 GMT 2024","Mon Jan 15 00:51:26 GMT 2024","14711","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
